"ubigeo","departamento","provincia","distrito","edad","sexo","poblacion","fuente_base","variable_edad","variable_sexo","selection","fetched_at","redatam_table_url"
"070101","CALLAO","CALLAO","CALLAO",0,"Hombre",3052,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",1,"Hombre",3194,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",2,"Hombre",3490,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",3,"Hombre",3562,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",4,"Hombre",3592,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",5,"Hombre",3592,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",6,"Hombre",3513,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",7,"Hombre",3466,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",8,"Hombre",3659,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
"070101","CALLAO","CALLAO","CALLAO",9,"Hombre",3636,"INEI REDATAM CPV2017 - Manzana","Poblacio.C5P41","Poblacio.SEXO","sels\Distrito_070101.sel","2026-05-03T17:03:24-0500","https://censos2017.inei.gob.pe/bininei2/RpWebUtilities.exe/Text?LFN=RpBases\Tempo\97468\~tmp_9746801.htm&TYPE=TMP"
