classroom_id,course_name,faculty,eligible_n,size_group,sex_top_1
urb209_0601,TALLER DE URBANISMO 1,ARQUITECTURA Y URBANISMO,53,G4,F
1arc06_0802,HISTORIA Y TEORÍA DE LA ARQUITECTURA 4,ARQUITECTURA Y URBANISMO,40,G3,F
arc227_0701,TALLER 7,ARQUITECTURA Y URBANISMO,36,G3,F
1arc56_0901,ÉTICA DE LA ARQUITECTURA,ARQUITECTURA Y URBANISMO,28,G2,F
arc225_0501,TALLER 5,ARQUITECTURA Y URBANISMO,22,G2,F
1arc71_1007,TALLER 9,ARQUITECTURA Y URBANISMO,20,G1,F
arc225_0502,TALLER 5,ARQUITECTURA Y URBANISMO,18,G1,F
1arc48_0703,HISTORIA Y TEORÍA DE LA ARQUITECTURA 3,ARQUITECTURA Y URBANISMO,18,G1,F
1arc71_1002,TALLER 9,ARQUITECTURA Y URBANISMO,16,G1,F
dgr202_0511,FOTODISEÑO,ARTE Y DISEÑO,22,G2,F
art385_1061,METODOLOGÍA DE LA INVESTIGACIÓN EN ARTE 2,ARTE Y DISEÑO,19,G1,F
1dgr10_0612,INVESTIGACIÓN EN DISEÑO,ARTE Y DISEÑO,18,G1,F
2art10_0851,PROYECTOS DE EDICIÓN INDEPENDIENTE,ARTE Y DISEÑO,15,G1,F
ant312_0611,SIMBOLISMO Y RITUAL,ARTE Y DISEÑO,12,G1,F
1dgr13_0912,DISEÑO DE INTERACCIÓN Y EXPERIENCIA DE USUARIO 1,ARTE Y DISEÑO,11,G1,F
art407_0662,COMPOSICIÓN PINTURA 2,ARTE Y DISEÑO,10,G1,F
fil191_0802,ESTÉTICA,ARTES ESCÉNICAS,29,G2,F
fil191_0801,ESTÉTICA,ARTES ESCÉNICAS,22,G2,F
1are11_1001,DEONTOLOGÍA DE LAS ARTES ESCÉNICAS,ARTES ESCÉNICAS,20,G1,F
tea260_0802,CRITICA TEATRAL,ARTES ESCÉNICAS,18,G1,F
1tea36_0801,METODOLOGÍA DE LA INVESTIGACIÓN TEATRAL,ARTES ESCÉNICAS,16,G1,F
tea214_elec,DIRECCIÓN,ARTES ESCÉNICAS,14,G1,F
mus825_0902,ENFOQUES DE ENSEÑANZA MUSICAL,ARTES ESCÉNICAS,12,G1,M
tea243_0203,ANÁLISIS DE UN TEXTO DRAMÁTICO,ARTES ESCÉNICAS,12,G1,F
1dan28_0605,TÉCNICA DE DANZA 6,ARTES ESCÉNICAS,10,G1,F
con284_0711,SISTEMAS DE INFORMACIÓN CONTABLE 2,CIENCIAS CONTABLES,27,G2,F
con295_0811,EMPRENDIMIENTO,CIENCIAS CONTABLES,27,G2,M
1ind50_0732,GESTIÓN DEL TALENTO HUMANO,CIENCIAS E INGENIERIA,46,G4,M
ing220_0842,ÉTICA PROFESIONAL,CIENCIAS E INGENIERIA,45,G4,M
ind231_0632,INGENIERÍA ECONÓMICA,CIENCIAS E INGENIERIA,44,G4,M
ind231_0635,INGENIERÍA ECONÓMICA,CIENCIAS E INGENIERIA,44,G4,M
1ind54_0932,AUTOMATIZACIÓN E INDUSTRIA 4.0,CIENCIAS E INGENIERIA,40,G3,M
ind283_0832,MERCADOTECNIA INDUSTRIAL,CIENCIAS E INGENIERIA,39,G3,M
1inf29_0681,SISTEMAS OPERATIVOS,CIENCIAS E INGENIERIA,37,G3,M
